lat,lon,precipitation,runoff,efficiency
-88.7669513528422,135.703125,2.658069e-06,0.0,0.0
-88.7669513528422,136.40625,2.664138e-06,0.0,0.0
-88.7669513528422,137.109375,2.670207e-06,0.0,0.0
-88.7669513528422,137.8125,2.6762762e-06,0.0,0.0
-88.7669513528422,138.515625,2.6823457e-06,0.0,0.0
-88.7669513528422,139.21875,2.6884145e-06,0.0,0.0
-88.7669513528422,139.921875,2.6944836e-06,0.0,0.0
-88.7669513528422,140.625,2.7005528e-06,0.0,0.0
-88.7669513528422,141.328125,2.7066224e-06,0.0,0.0
-88.7669513528422,142.03125,2.7126914e-06,0.0,0.0
-88.7669513528422,142.734375,2.7187607e-06,0.0,0.0
-88.7669513528422,143.4375,2.7248298e-06,0.0,0.0
-88.7669513528422,144.140625,2.731071e-06,0.0,0.0
-88.7669513528422,144.84375,2.7379992e-06,0.0,0.0
-88.7669513528422,145.546875,2.7449282e-06,0.0,0.0
-88.7669513528422,146.25,2.7518568e-06,0.0,0.0
-88.7669513528422,146.953125,2.7587855e-06,0.0,0.0
-88.7669513528422,147.65625,2.7657138e-06,0.0,0.0
-88.7669513528422,148.359375,2.7726428e-06,0.0,0.0
-88.7669513528422,149.0625,2.779571e-06,0.0,0.0
-88.7669513528422,149.765625,2.7864996e-06,0.0,0.0
-88.7669513528422,150.46875,2.793428e-06,0.0,0.0
-88.7669513528422,151.171875,2.800357e-06,0.0,0.0
-88.7669513528422,151.875,2.8072857e-06,0.0,0.0
-88.7669513528422,152.578125,2.8142144e-06,0.0,0.0
-88.7669513528422,153.28125,2.8211427e-06,0.0,0.0
-88.7669513528422,153.984375,2.8280715e-06,0.0,0.0
-88.7669513528422,154.6875,2.8350007e-06,0.0,0.0
-88.7669513528422,155.390625,2.8419288e-06,0.0,0.0
-88.7669513528422,156.09375,2.8488573e-06,0.0,0.0
-88.7669513528422,156.796875,2.8557863e-06,0.0,0.0
-88.7669513528422,157.5,2.8627148e-06,0.0,0.0
-88.7669513528422,158.203125,2.8696436e-06,0.0,0.0
-88.7669513528422,158.90625,2.8803365e-06,0.0,0.0
-88.7669513528422,159.609375,2.8924944e-06,0.0,0.0
-88.7669513528422,160.3125,2.904652e-06,0.0,0.0
-88.7669513528422,161.015625,2.9168089e-06,0.0,0.0
-88.7669513528422,161.71875,2.9289668e-06,0.0,0.0
-88.7669513528422,162.421875,2.9411244e-06,0.0,0.0
-88.7669513528422,163.125,2.9532816e-06,0.0,0.0
-88.7669513528422,163.828125,2.9654393e-06,0.0,0.0
-88.7669513528422,164.53125,2.9775965e-06,0.0,0.0
-88.7669513528422,165.234375,2.9897537e-06,0.0,0.0
-88.7669513528422,165.9375,3.0019116e-06,0.0,0.0
-88.7669513528422,166.640625,3.014069e-06,0.0,0.0
-88.7669513528422,167.34375,3.0262263e-06,0.0,0.0
-88.7669513528422,168.046875,3.038384e-06,0.0,0.0
-88.7669513528422,168.75,3.0505414e-06,0.0,0.0
-88.7669513528422,169.453125,3.062699e-06,0.0,0.0
-88.7669513528422,170.15625,3.0748565e-06,0.0,0.0
-88.7669513528422,170.859375,3.0870142e-06,0.0,0.0
-88.7669513528422,171.5625,3.0991714e-06,0.0,0.0
-88.7669513528422,172.265625,3.111329e-06,0.0,0.0
-88.7669513528422,172.96875,3.124135e-06,0.0,0.0
-88.7669513528422,173.671875,3.1389955e-06,0.0,0.0
-88.7669513528422,174.375,3.1538552e-06,0.0,0.0
-88.7669513528422,175.078125,3.1687155e-06,0.0,0.0
-88.7669513528422,175.78125,3.1835752e-06,0.0,0.0
-88.7669513528422,176.484375,3.1984355e-06,0.0,0.0
-88.7669513528422,177.1875,3.2132957e-06,0.0,0.0
-88.7669513528422,177.890625,3.2281555e-06,0.0,0.0
-88.7669513528422,178.59375,3.2430155e-06,0.0,0.0
-88.7669513528422,179.296875,3.2578762e-06,0.0,0.0
-88.7669513528422,180.0,3.2727357e-06,0.0,0.0
-88.7669513528422,180.703125,3.287596e-06,0.0,0.0
-88.7669513528422,181.40625,3.302456e-06,0.0,0.0
-88.7669513528422,182.109375,3.317316e-06,0.0,0.0
-88.7669513528422,182.8125,3.3321762e-06,0.0,0.0
-88.7669513528422,183.515625,3.347036e-06,0.0,0.0
-88.7669513528422,184.21875,3.3618962e-06,0.0,0.0
-88.7669513528422,184.921875,3.3767565e-06,0.0,0.0
-88.7669513528422,185.625,3.3916165e-06,0.0,0.0
-88.7669513528422,186.328125,3.406477e-06,0.0,0.0
-88.7669513528422,187.03125,3.4213372e-06,0.0,0.0
-88.7669513528422,187.734375,3.4328955e-06,0.0,0.0
-88.7669513528422,188.4375,3.4434115e-06,0.0,0.0
-88.7669513528422,189.140625,3.4539273e-06,0.0,0.0
-88.7669513528422,189.84375,3.4644438e-06,0.0,0.0
-88.7669513528422,190.546875,3.474959e-06,0.0,0.0
-88.7669513528422,191.25,3.485475e-06,0.0,0.0
-88.7669513528422,191.953125,3.4959915e-06,0.0,0.0
-88.7669513528422,192.65625,3.506507e-06,0.0,0.0
-88.7669513528422,193.359375,3.5170233e-06,0.0,0.0
-88.7669513528422,194.0625,3.5275395e-06,0.0,0.0
-88.7669513528422,194.765625,3.538055e-06,0.0,0.0
-88.7669513528422,195.46875,3.5485714e-06,0.0,0.0
-88.7669513528422,196.171875,3.5590874e-06,0.0,0.0
-88.7669513528422,196.875,3.569603e-06,0.0,0.0
-88.7669513528422,197.578125,3.580119e-06,0.0,0.0
-88.7669513528422,198.28125,3.590635e-06,0.0,0.0
-88.7669513528422,198.984375,3.601151e-06,0.0,0.0
-88.7669513528422,199.6875,3.6116671e-06,0.0,0.0
-88.7669513528422,200.390625,3.6221834e-06,0.0,0.0
-88.7669513528422,201.09375,3.6326992e-06,0.0,0.0
-88.7669513528422,201.796875,3.6413987e-06,0.0,0.0
-88.7669513528422,202.5,3.6454287e-06,0.0,0.0
-88.7669513528422,203.203125,3.649458e-06,0.0,0.0
-88.7669513528422,203.90625,3.6534873e-06,0.0,0.0
-88.7669513528422,204.609375,3.6575166e-06,0.0,0.0
-88.7669513528422,205.3125,3.6615459e-06,0.0,0.0
-88.7669513528422,206.015625,3.6655756e-06,0.0,0.0
-88.7669513528422,206.71875,3.669605e-06,0.0,0.0
-88.7669513528422,207.421875,3.6736346e-06,0.0,0.0
-88.7669513528422,208.125,3.677664e-06,0.0,0.0
-88.7669513528422,208.828125,3.6816934e-06,0.0,0.0
-88.7669513528422,209.53125,3.685723e-06,0.0,0.0
-88.7669513528422,210.234375,3.6897522e-06,0.0,0.0
-88.7669513528422,210.9375,3.6937815e-06,0.0,0.0
-88.7669513528422,211.640625,3.697811e-06,0.0,0.0
-88.7669513528422,212.34375,3.7018408e-06,0.0,0.0
-88.7669513528422,213.046875,3.70587e-06,0.0,0.0
-88.7669513528422,213.75,3.7098994e-06,0.0,0.0
-88.7669513528422,214.453125,3.7139287e-06,0.0,0.0
-88.7669513528422,215.15625,3.7179586e-06,0.0,0.0
-88.7669513528422,215.859375,3.7219882e-06,0.0,0.0
-88.7669513528422,216.5625,3.723095e-06,0.0,0.0
-88.7669513528422,217.265625,3.7234724e-06,0.0,0.0
-88.7669513528422,217.96875,3.7238492e-06,0.0,0.0
-88.7669513528422,218.671875,3.7242264e-06,0.0,0.0
-88.7669513528422,219.375,3.7246032e-06,0.0,0.0
-88.7669513528422,220.078125,3.7249806e-06,0.0,0.0
-88.7669513528422,220.78125,3.7253571e-06,0.0,0.0
-88.7669513528422,221.484375,3.7257346e-06,0.0,0.0
-88.7669513528422,222.1875,3.7261116e-06,0.0,0.0
-88.7669513528422,222.890625,3.7264883e-06,0.0,0.0
-88.7669513528422,223.59375,3.7268655e-06,0.0,0.0
-88.7669513528422,224.296875,3.7272428e-06,0.0,0.0
-88.7669513528422,225.0,3.7276195e-06,0.0,0.0
-88.7669513528422,225.703125,3.7279967e-06,0.0,0.0
-88.7669513528422,226.40625,3.7283735e-06,0.0,0.0
-88.7669513528422,227.109375,3.7287502e-06,0.0,0.0
-88.7669513528422,227.8125,3.7291275e-06,0.0,0.0
-88.7669513528422,228.515625,3.729505e-06,0.0,0.0
-88.7669513528422,229.21875,3.729882e-06,0.0,0.0
-88.7669513528422,229.921875,3.7302589e-06,0.0,0.0
-88.7669513528422,230.625,3.730283e-06,0.0,0.0
-88.7669513528422,231.328125,3.729557e-06,0.0,0.0
-88.7669513528422,232.03125,3.7288307e-06,0.0,0.0
-88.7669513528422,232.734375,3.7281045e-06,0.0,0.0
-88.7669513528422,233.4375,3.7273785e-06,0.0,0.0
-88.7669513528422,234.140625,3.7266525e-06,0.0,0.0
-88.7669513528422,234.84375,3.7259265e-06,0.0,0.0
